r,black,S,K,tau,optionValue
0.03178,Under,432.0383665,420,0.178571429,17.48011608
0.03178,Over,430.6387189,435,0.28968254,8.875
0.03178,Under,430.6387189,405,0.28968254,31.91508407
0.03178,Under,433.8867624,425,0.03968254,10.29739692
0.03178,Under,430.6387189,415,0.28968254,23.25672271
0.03178,Under,433.8867624,415,0.03968254,19.75479378
0.03178,Under,432.0383665,400,0.178571429,35.36693909
0.03178,Under,430.6387189,395,0.28968254,40.76344542
0.03178,Over,433.8867624,435,0.03968254,2.94
0.03178,Under,432.0383665,395,0.178571429,40.14864859
0.03178,Over,430.6387189,460,0.28968254,1.035000014
0.03178,Over,432.0383665,460,0.178571429,0.440000663
0.03178,Over,430.6387189,445,0.28968254,4.69
0.03178,Over,432.0383665,435,0.178571429,6.814999997
0.03178,Under,432.0383665,410,0.178571429,26.23352681
0.03178,Under,430.6387189,425,0.28968254,15.65836135
0.03168,Under,432.3504711,415,0.174603175,21.89467684
0.03168,Under,431.0203943,430,0.285714286,12.14994774
0.03168,Over,431.0203943,460,0.285714286,0.970000022
0.03168,Over,431.0203943,455,0.285714286,1.875009535
0.03168,Over,432.3504711,455,0.174603175,0.625000101
0.03168,Over,431.0203943,435,0.285714286,9.130000003
0.03168,Under,431.0203943,420,0.285714286,19.42984119
0.03168,Under,431.0203943,415,0.285714286,23.51478825
0.03168,Over,432.3504711,460,0.174603175,0.315006565
0.03168,Under,432.3504711,430,0.174603175,9.787422436
0.03168,Under,431.0203943,380,0.285714286,55.28941769
0.03168,Over,434.6381069,435,0.035714286,3.005004839
0.03168,Over,432.3504711,465,0.174603175,0.160000012
0.03168,Over,434.6381069,445,0.035714286,0.220000254
0.03168,Over,432.3504711,440,0.174603175,4.374999998
0.03168,Under,431.0203943,375,0.285714286,60.14936713
0.03168,Under,431.0203943,390,0.285714286,45.7895236
0.03168,Under,432.3504711,405,0.174603175,30.95951525
0.03168,Under,432.3504711,400,0.174603175,35.65193446
0.03168,Under,432.3504711,425,0.174603175,13.38483842
0.03168,Over,431.0203943,470,0.285714286,0.280000002
0.03168,Over,432.3504711,435,0.174603175,6.749999998
0.03168,Under,434.6381069,405,0.035714286,30.28607663
0.03168,Over,432.3504711,445,0.174603175,2.50000006
0.03168,Over,434.6381069,440,0.035714286,0.940000184
0.03168,Over,431.0203943,475,0.285714286,0.125000709
0.03168,Under,431.0203943,385,0.285714286,50.55448197
0.03168,Over,434.6381069,430,0.035714286,6.379346063
0.03168,Under,431.0203943,405,0.285714286,32.10968237
0.03168,Under,431.0203943,395,0.285714286,41.14458728
0.03168,Under,431.0203943,410,0.285714286,27.90473531
0.03168,Under,432.3504711,395,0.174603175,40.43435367
0.03168,Under,432.3504711,420,0.174603175,17.54225762
0.03168,Under,432.3504711,410,0.174603175,26.30209604
0.03168,Over,431.0203943,450,0.285714286,2.845000291
0.03168,Under,434.6381069,415,0.035714286,20.38738909
0.03168,Over,432.3504711,470,0.174603175,0.155000001
0.03168,Over,431.0203943,440,0.285714286,6.750001696
0.03168,Over,431.0203943,445,0.285714286,4.565000001
0.03168,Over,432.3504711,450,0.174603175,1.375
0.03168,Under,431.0203943,425,0.285714286,15.66489412
0.03168,Under,434.6381069,420,0.035714286,15.52303818
0.03168,Over,431.0203943,465,0.285714286,0.470004836
0.03168,Under,431.0203943,400,0.285714286,36.49962943
0.03168,Under,434.6381069,410,0.035714286,25.29173028
0.03168,Under,432.3504711,390,0.174603175,45.09677288
0.03168,Under,434.6381069,425,0.035714286,10.86869217
0.03188,Under,426.0250065,435,0.281746032,7.000001061
0.03188,Under,426.0250065,385,0.281746032,45.84262084
0.03188,Under,429.2550328,415,0.031746032,15.39482673
0.03188,Under,428.042219,430,0.170634921,7.375
0.03188,Under,429.2550328,410,0.031746032,20.10976897
0.03188,Under,426.0250065,405,0.281746032,27.96145387
0.03188,Under,426.0250065,430,0.281746032,9.499999999
0.03188,Under,426.0250065,425,0.281746032,12.20529123
0.03188,Over,426.0250065,450,0.281746032,2.09500315
0.03188,Over,426.0250065,445,0.281746032,3.440000024
0.03188,Under,426.0250065,380,0.281746032,50.54790774
0.03188,Under,428.042219,420,0.170634921,14.51074928
0.03188,Under,429.2550328,445,0.031746032,0.160000002
0.03188,Over,426.0250065,465,0.281746032,0.440002128
0.03188,Over,426.0250065,455,0.281746032,1.255
0.03188,Under,426.0250065,410,0.281746032,23.8811631
0.03188,Under,429.2550328,405,0.031746032,24.94471532
0.03188,Under,428.042219,395,0.170634921,36.44012248
0.03188,Under,428.042219,410,0.170634921,22.83149856
0.03188,Over,428.042219,460,0.170634921,0.190000002
0.03188,Under,429.2550328,420,0.031746032,10.86988449
0.03188,Under,428.042219,390,0.170634921,41.12799728
0.03188,Under,426.0250065,415,0.281746032,19.80087232
0.03188,Under,429.2550328,435,0.031746032,1.155000008
0.03188,Over,426.0250065,475,0.281746032,0.125000108
0.03188,Under,428.042219,405,0.170634921,27.24437436
0.03188,Over,426.0250065,470,0.281746032,0.315006143
0.03188,Under,429.2550328,425,0.031746032,6.689944259
0.03188,Under,429.2550328,400,0.031746032,29.87965386
0.03188,Under,426.0250065,395,0.281746032,36.74703644
0.03188,Under,426.0250065,420,0.281746032,16.09558818
0.03188,Over,428.042219,440,0.170634921,3.065000002
0.03188,Over,426.0250065,460,0.281746032,0.625000421
0.03188,Over,429.2550328,440,0.031746032,0.315000001
0.03188,Over,428.042219,450,0.170634921,0.875000001
0.03188,Over,428.042219,465,0.170634921,0.190006356
0.03188,Under,429.2550328,430,0.031746032,3.255000001
0.03188,Under,428.042219,400,0.170634921,31.83724859
0.03188,Under,426.0250065,400,0.281746032,32.35675382
0.03188,Over,428.042219,455,0.170634921,0.470000286
0.03188,Over,426.0250065,480,0.281746032,0.125000015
0.03188,Under,428.042219,415,0.170634921,18.54862392
0.03188,Under,426.0250065,390,0.281746032,41.32732628
0.03188,Under,428.042219,425,0.170634921,10.84787601
0.03188,Under,426.0250065,375,0.281746032,55.41320048
0.03188,Over,428.042219,435,0.170634921,4.815004423
0.03188,Under,426.0250065,440,0.281746032,5.004999997
0.03188,Over,428.042219,445,0.170634921,1.875000797
0.03126,Under,429.1267787,425,0.027777778,5.965660217
0.03126,Under,427.0155259,425,0.166666667,9.849018332
0.03126,Over,429.1267787,435,0.027777778,0.780000247
0.03126,Under,425.4723309,420,0.277777778,15.5435475
0.03126,Under,429.1267787,415,0.027777778,14.9269808
0.03126,Over,425.4723309,470,0.277777778,0.315004334
0.03126,Over,429.1267787,440,0.027777778,0.220000011
0.03126,Under,427.0155259,395,0.166666667,35.4431242
0.03126,Over,427.0155259,445,0.166666667,1.345009504
0.03126,Under,425.4723309,395,0.277777778,36.26239904
0.03126,Under,429.1267787,395,0.027777778,34.59462257
0.03126,Under,429.1267787,420,0.027777778,10.15132045
0.03126,Over,425.4723309,445,0.277777778,3.035000104
0.03126,Under,425.4723309,430,0.277777778,9.129999997
0.03126,Over,427.0155259,465,0.166666667,0.125000002
0.03126,Over,425.4723309,480,0.277777778,0.125000008
0.03126,Over,427.0155259,440,0.166666667,2.50500004
0.03126,Under,425.4723309,415,0.277777778,19.31531387
0.03126,Under,429.1267787,430,0.027777778,2.69
0.03126,Under,427.0155259,405,0.166666667,26.31008885
0.03126,Under,425.4723309,405,0.277777778,27.34885645
0.03126,Over,425.4723309,460,0.277777778,0.755000051
0.03126,Under,425.4723309,410,0.277777778,23.27208516
0.03126,Under,425.4723309,435,0.277777778,6.630002461
0.03126,Under,425.4723309,375,0.277777778,54.58948431
0.03126,Under,429.1267787,400,0.027777778,29.69396139
0.03126,Under,427.0155259,430,0.166666667,6.879999997
0.03126,Over,425.4723309,455,0.277777778,1.255000003
0.03126,Under,427.0155259,400,0.166666667,30.84910895
0.03126,Under,425.4723309,425,0.277777778,12.08677139
0.03126,Over,427.0155259,455,0.166666667,0.315003472
0.03126,Over,427.0155259,450,0.166666667,0.625000051
0.03126,Over,425.4723309,450,0.277777778,1.875006604
0.03126,Over,425.4723309,465,0.277777778,0.505000504
0.03126,Under,425.4723309,400,0.277777778,31.99562817
0.03126,Under,427.0155259,410,0.166666667,21.77107097
0.03126,Under,425.4723309,390,0.277777778,40.71917061
0.03126,Over,425.4723309,475,0.277777778,0.190000001
0.03126,Under,427.0155259,390,0.166666667,39.97714198
0.03126,Under,427.0155259,420,0.166666667,13.45303548
0.03126,Under,425.4723309,380,0.277777778,50.07271299
0.03126,Under,427.0155259,415,0.166666667,17.42705323
0.03126,Over,427.0155259,460,0.166666667,0.190000001
0.03126,Under,425.4723309,440,0.277777778,4.754999998
0.03126,Under,429.1267787,410,0.027777778,19.82764087
0.03126,Over,427.0155259,435,0.166666667,4.315
0.03126,Under,425.4723309,385,0.277777778,45.30594161
0.03126,Under,429.1267787,405,0.027777778,24.69830115
0.03116,Under,428.9963681,400,0.154761905,32.14067685
0.03116,Under,427.7623364,380,0.265873016,52.02248152
0.03116,Over,428.9963681,430,0.154761905,7.130000002
0.03116,Under,428.9963681,405,0.154761905,27.3197307
0.03116,Over,428.9963681,450,0.154761905,0.625000049
0.03116,Under,430.8523732,410,0.015873016,21.21511077
0.03116,Under,427.7623364,390,0.265873016,42.66998478
0.03116,Under,430.8523732,420,0.015873016,11.34005563
0.03116,Under,427.7623364,375,0.265873016,56.70123352
0.03116,Under,427.7623364,385,0.265873016,47.22373288
0.03116,Under,428.9963681,410,0.154761905,22.97378456
0.03116,Under,428.9963681,415,0.154761905,18.49783842
0.03116,Over,427.7623364,435,0.265873016,7.00500027
0.03116,Over,427.7623364,455,0.265873016,1.065000003
0.03116,Under,427.7623364,410,0.265873016,24.70999239
0.03116,Under,427.7623364,420,0.265873016,16.8524962
0.03116,Under,427.7623364,405,0.265873016,28.91874049
0.03116,Under,430.8523732,425,0.015873016,6.657527609
0.03116,Under,428.9963681,395,0.154761905,36.83162298
0.03116,Under,428.9963681,425,0.154761905,10.41595733
0.03116,Under,430.8523732,415,0.015873016,16.24758279
0.03116,Over,428.9963681,435,0.154761905,4.505003614
0.03116,Over,427.7623364,450,0.265873016,1.905005959
0.03116,Under,427.7623364,415,0.265873016,20.69124429
0.03116,Over,428.9963681,465,0.154761905,0.125000003
0.03116,Over,428.9963681,445,0.154761905,1.440004935
0.03116,Under,427.7623364,395,0.265873016,37.8962371
0.03116,Under,427.7623364,400,0.265873016,33.34248859
0.03116,Over,427.7623364,475,0.265873016,0.155000013
0.03116,Over,428.9963681,455,0.154761905,0.345001864
0.03116,Under,430.8523732,440,0.015873016,0.160000002
0.03116,Over,427.7623364,440,0.265873016,4.814999999
0.03116,Under,430.8523732,430,0.015873016,2.755000166
0.03116,Under,428.9963681,390,0.154761905,41.62756957
0.03116,Over,428.9963681,440,0.154761905,2.50500002
0.03116,Under,427.7623364,425,0.265873016,13.26874928
0.03116,Over,430.8523732,435,0.015873016,0.660000067
0.03116,Over,428.9963681,460,0.154761905,0.190000001
0.03116,Under,427.7623364,430,0.265873016,10
0.03116,Over,427.7623364,465,0.265873016,0.345010065
0.03116,Over,427.7623364,460,0.265873016,0.625000378
0.03116,Under,428.9963681,420,0.154761905,14.39189228
0.03116,Over,427.7623364,470,0.265873016,0.220000002
0.03116,Over,427.7623364,445,0.265873016,3.125000059
0.03085,Under,427.6047004,425,0.261904762,12.77476552
0.03085,Over,431.3421064,435,0.011904762,0.440000654
0.03085,Over,429.3142924,435,0.150793651,4.315003906
0.03085,Under,431.3421064,420,0.011904762,11.71632808
0.03085,Under,429.3142924,400,0.150793651,32.17576573
0.03085,Under,429.3142924,405,0.150793651,27.41397049
0.03085,Under,429.3142924,420,0.150793651,14.4535882
0.03085,Under,431.3421064,425,0.011904762,6.81316433
0.03085,Over,429.3142924,430,0.150793651,7.065000003
0.03085,Under,427.6047004,385,0.261904762,46.95787563
0.03085,Over,429.3142924,450,0.150793651,0.565000111
0.03085,Over,427.6047004,445,0.261904762,2.875000139
0.03085,Under,429.3142924,425,0.150793651,10.5417941
0.03085,Under,427.6047004,430,0.261904762,9.689999999
0.03085,Under,427.6047004,415,0.261904762,20.25929187
0.03085,Over,431.3421064,430,0.011904762,2.625005472
0.03085,Over,427.6047004,465,0.261904762,0.3450085
0.03085,Under,427.6047004,405,0.261904762,28.48881979
0.03085,Over,427.6047004,470,0.261904762,0.255000001
0.03085,Over,429.3142924,455,0.150793651,0.315003137
0.03085,Under,427.6047004,400,0.261904762,33.19859034
0.03085,Over,427.6047004,475,0.261904762,0.185000001
0.03085,Under,429.3142924,410,0.150793651,22.84217641
0.03085,Over,427.6047004,450,0.261904762,1.7850089
0.03085,Over,429.3142924,440,0.150793651,2.375000034
0.03085,Over,429.3142924,445,0.150793651,1.315008818
0.03085,Over,427.6047004,455,0.261904762,1.005000009
0.03085,Over,427.6047004,460,0.261904762,0.375000001
0.03085,Under,427.6047004,395,0.261904762,37.65834794
0.03085,Under,427.6047004,410,0.261904762,24.27905584
0.03085,Under,429.3142924,390,0.150793651,41.74935287
0.03085,Over,427.6047004,440,0.261904762,4.564999999
0.03085,Over,429.3142924,460,0.150793651,0.190000001
0.03085,Under,427.6047004,380,0.261904762,51.53763959
0.03085,Over,427.6047004,435,0.261904762,6.880000398
0.03085,Under,427.6047004,420,0.261904762,16.35952792
0.03085,Under,427.6047004,375,0.261904762,56.37740496
0.03085,Under,427.6047004,390,0.261904762,42.248112
0.03085,Under,429.3142924,395,0.150793651,37.02255869
0.03085,Under,429.3142924,415,0.150793651,18.4953823
0.03065,Over,431.2968119,430,0.146825397,8.102550349
0.03065,Over,429.8845552,440,0.257936508,5.190000002
0.03065,Over,431.2968119,455,0.146825397,0.345002455
0.03065,Over,431.2968119,460,0.146825397,0.19
0.03065,Under,429.8845552,390,0.257936508,44.21064382
0.03065,Under,431.2968119,425,0.146825397,11.71009912
0.03065,Under,431.2968119,415,0.146825397,20.03519826
0.03065,Over,433.2991974,435,0.007936508,0.78
0.03065,Under,429.8845552,415,0.257936508,21.90750829
0.03065,Over,429.8845552,465,0.257936508,0.285000001
0.03065,Over,429.8845552,455,0.257936508,1.095000003
0.03065,Under,431.2968119,400,0.146825397,33.96784693
0.03065,Under,429.8845552,385,0.257936508,48.92127072
0.03065,Under,431.2968119,420,0.146825397,15.68764869
0.03065,Under,433.2991974,430,0.007936508,3.96878388
0.03065,Under,431.2968119,395,0.146825397,38.69540187
0.03065,Under,429.8845552,395,0.257936508,39.62001664
0.03065,Under,431.2968119,410,0.146825397,24.45274785
0.03065,Over,429.8845552,435,0.257936508,7.749999999
0.03065,Under,429.8845552,425,0.257936508,14.29626136
0.03065,Under,429.8845552,405,0.257936508,30.51376243
0.03065,Over,429.8845552,445,0.257936508,3.190000039
0.03065,Under,429.8845552,380,0.257936508,53.75189815
0.03065,Under,431.2968119,405,0.146825397,29.08529738
0.03065,Over,431.2968119,440,0.146825397,2.815000002
0.03065,Over,431.2968119,450,0.146825397,0.785000004
0.03065,Under,433.2991974,420,0.007936508,13.56135165
0.03065,Over,429.8845552,450,0.257936508,2.005003955
0.03065,Under,429.8845552,420,0.257936508,17.81688122
0.03065,Under,429.8845552,410,0.257936508,26.05313536
0.03065,Under,429.8845552,400,0.257936508,34.8493895
0.03065,Over,431.2968119,435,0.146825397,5.065000045
0.03065,Under,433.2991974,425,0.007936508,8.592567767
0.03065,Under,429.8845552,430,0.257936508,10.65062715
0.03065,Over,429.8845552,460,0.257936508,0.62500048
0.03065,Over,429.8845552,470,0.257936508,0.1250006
0.03065,Under,429.8845552,375,0.257936508,58.49752909
0.03065,Under,431.2968119,390,0.146825397,43.61294731
0.03065,Over,431.2968119,445,0.146825397,1.44000438
0.03044,Under,432.4600703,380,0.253968254,56.10644635
0.03044,Under,432.4600703,430,0.253968254,12.02149819
0.03044,Over,434.1124784,460,0.142857143,0.160000016
0.03044,Over,432.4600703,440,0.253968254,6.255001241
0.03044,Under,432.4600703,425,0.253968254,15.67299012
0.03044,Over,434.1124784,430,0.142857143,9.543304348
0.03044,Over,434.1124784,450,0.142857143,0.905
0.03044,Over,432.4600703,450,0.253968254,2.4400007
0.03044,Over,432.4600703,455,0.253968254,1.345
0.03044,Under,434.1124784,425,0.142857143,13.46160871
0.03044,Under,434.1124784,395,0.142857143,41.36143481
0.03044,Under,432.4600703,410,0.253968254,27.99247531
0.03044,Under,432.4600703,375,0.253968254,60.94294072
0.03044,Over,432.4600703,465,0.253968254,0.345
0.03044,Under,434.1124784,410,0.142857143,26.8615219
0.03044,Over,436.1974579,435,0.003968254,1.625000006
0.03044,Under,432.4600703,420,0.253968254,19.50948518
0.03044,Over,434.1124784,435,0.142857143,6.315000002
0.03044,Under,432.4600703,415,0.253968254,23.59598025
0.03044,Under,434.1124784,420,0.142857143,17.93991308
0.03044,Over,432.4600703,435,0.253968254,8.689999998
0.03044,Over,434.1124784,440,0.142857143,3.689999997
0.03044,Over,432.4600703,445,0.253968254,3.815000004
0.03044,Over,434.1124784,445,0.142857143,2.005000175
0.03044,Under,434.1124784,405,0.142857143,31.80982999
0.03044,Under,434.1124784,400,0.142857143,36.5381305
0.03044,Under,432.4600703,395,0.253968254,41.75696349
0.03044,Over,432.4600703,460,0.253968254,0.565001515
0.03044,Under,432.4600703,385,0.253968254,51.32995062
0.03044,Under,434.1124784,390,0.142857143,46.24474504
0.03044,Under,434.1124784,415,0.142857143,22.35321747
0.03044,Over,434.1124784,455,0.142857143,0.410001194
0.03044,Under,432.4600703,400,0.253968254,37.04046543
0.03044,Under,432.4600703,390,0.253968254,46.58846338
0.03044,Under,432.4600703,405,0.253968254,32.45397037
0.03044,Over,432.4600703,470,0.253968254,0.190000039
0.03003,Over,434.5644658,440,0.138888889,3.505
0.03003,Under,434.5644658,390,0.138888889,46.43770337
0.03003,Over,434.5644658,460,0.138888889,0.190000003
0.03003,Under,432.8664657,415,0.25,23.78541223
0.03003,Under,432.8664657,410,0.25,28.1230153
0.03003,Over,434.5644658,465,0.138888889,0.125000017
0.03003,Over,432.8664657,455,0.25,1.375000002
0.03003,Over,434.5644658,455,0.138888889,0.375002088
0.03003,Under,434.5644658,420,0.138888889,18.00256796
0.03003,Over,432.8664657,465,0.25,0.375011204
0.03003,Over,432.8664657,450,0.25,2.440000644
0.03003,Under,432.8664657,385,0.25,51.37103055
0.03003,Over,434.5644658,435,0.138888889,6.190000017
0.03003,Over,432.8664657,440,0.25,6.065001171
0.03003,Over,432.8664657,470,0.25,0.190000036
0.03003,Under,432.8664657,405,0.25,32.55061837
0.03003,Under,434.5644658,410,0.138888889,27.2109464
0.03003,Over,432.8664657,475,0.25,0.125000278
0.03003,Under,432.8664657,420,0.25,19.44780917
0.03003,Under,434.5644658,425,0.138888889,13.58837856
0.03003,Under,432.8664657,390,0.25,46.65842757
0.03003,Over,432.8664657,445,0.25,4.065000003
0.03003,Under,432.8664657,425,0.25,15.48520611
0.03003,Under,434.5644658,415,0.138888889,22.48175751
0.03003,Over,434.5644658,430,0.138888889,9.479189264
0.03003,Over,434.5644658,445,0.138888889,1.720000588
0.03003,Under,434.5644658,400,0.138888889,36.69932484
0.03003,Under,434.5644658,395,0.138888889,41.61352058
0.03003,Over,432.8664657,460,0.25,0.625000661
0.03003,Under,432.8664657,395,0.25,41.94582444
0.03003,Over,432.8664657,430,0.25,11.5826138
0.03003,Under,434.5644658,405,0.138888889,31.75513675
0.03003,Over,432.8664657,480,0.25,0.12500005
0.03003,Over,432.8664657,435,0.25,8.624999997
0.03003,Under,432.8664657,375,0.25,61.10623788
0.03003,Under,432.8664657,400,0.25,37.23322139
0.03003,Over,434.5644658,450,0.138888889,0.905
0.03003,Under,432.8664657,380,0.25,56.17864539
0.03054,Under,433.9134008,410,0.238095238,28.82387365
0.03054,Under,435.0662955,405,0.126984127,32.19888245
0.03054,Over,433.9134008,465,0.238095238,0.255000007
0.03054,Over,433.9134008,440,0.238095238,6.250000246
0.03054,Over,432.6954787,465,0.349206349,0.815000389
0.03054,Under,433.9134008,405,0.238095238,33.31764837
0.03054,Over,432.6954787,440,0.349206349,8.130000032
0.03054,Over,435.0662955,460,0.126984127,0.160000007
0.03054,Over,435.0662955,425,0.126984127,13.5862943
0.03054,Over,433.9134008,460,0.238095238,0.565001256
0.03054,Over,432.6954787,435,0.349206349,10.94000001
0.03054,Over,432.6954787,445,0.349206349,5.75
0.03054,Under,435.0662955,415,0.126984127,22.67258905
0.03054,Under,433.9134008,420,0.238095238,20.27132417
0.03054,Over,433.9134008,430,0.238095238,12.15377472
0.03054,Over,435.0662955,445,0.126984127,1.690000447
0.03054,Over,433.9134008,455,0.238095238,1.155000001
0.03054,Over,435.0662955,430,0.126984127,9.485647077
0.03054,Over,435.0662955,450,0.126984127,0.720000007
0.03054,Under,432.6954787,425,0.349206349,18.08391905
0.03054,Over,433.9134008,445,0.238095238,3.874999998
0.03054,Over,432.6954787,460,0.349206349,1.505000003
0.03054,Over,433.9134008,450,0.238095238,2.255000989
0.03054,Over,432.6954787,475,0.349206349,0.190000325
0.03054,Over,435.0662955,435,0.126984127,6.065000132
0.03054,Under,432.6954787,420,0.349206349,21.96587857
0.03054,Over,435.0662955,440,0.126984127,3.505008349
0.03054,Over,432.6954787,455,0.349206349,2.505002775
0.03054,Over,433.9134008,435,0.238095238,8.940000014
0.03054,Under,435.0662955,420,0.126984127,18.06694184
0.03054,Under,432.6954787,415,0.349206349,25.9128381
0.03054,Over,432.6954787,470,0.349206349,0.375000002
0.03054,Over,433.9134008,470,0.238095238,0.155000175
0.03054,Over,432.6954787,480,0.349206349,0.125002443
0.03054,Under,433.9134008,415,0.238095238,24.42509891
0.03054,Under,432.6954787,410,0.349206349,30.16979763
0.03054,Under,435.0662955,410,0.126984127,27.34323597
0.03054,Under,432.6954787,430,0.349206349,14.25696602
0.03054,Over,435.0662955,455,0.126984127,0.315004397
0.03054,Over,432.6954787,450,0.349206349,3.815000025
0.03054,Under,432.6954787,405,0.349206349,34.49675717
0.03054,Under,433.9134008,425,0.238095238,15.93254945
0.03054,Over,430.9376405,455,0.345238095,2.315004862
0.03054,Over,430.9376405,435,0.345238095,10
0.03054,Over,433.6838125,445,0.123015873,1.440001952
0.03054,Over,432.4007399,445,0.234126984,3.255000011
0.03054,Over,430.9376405,470,0.345238095,0.375
0.03054,Over,430.9376405,450,0.345238095,3.440000106
0.03054,Under,433.6838125,415,0.123015873,21.30500353
0.03054,Over,432.4007399,470,0.234126984,0.15500009
0.03054,Over,432.4007399,450,0.234126984,1.875004528
0.03054,Under,433.6838125,425,0.123015873,12.52750145
0.03054,Under,432.4007399,405,0.234126984,31.97125793
0.03054,Over,432.4007399,440,0.234126984,5.44000418
0.03054,Under,433.6838125,420,0.123015873,16.82375236
0.03054,Over,430.9376405,440,0.345238095,7.250001034
0.03054,Under,430.9376405,410,0.345238095,28.67779543
0.03054,Over,432.4007399,455,0.234126984,1.005000008
0.03054,Under,432.4007399,425,0.234126984,14.80375264
0.03054,Over,430.9376405,460,0.345238095,1.185000012
0.03054,Over,430.9376405,480,0.345238095,0.125001466
0.03054,Under,430.9376405,430,0.345238095,13.1375602
0.03054,Under,433.6838125,405,0.123015873,30.79750432
0.03054,Under,432.4007399,420,0.234126984,18.83312897
0.03054,Under,430.9376405,415,0.345238095,24.48023634
0.03054,Over,430.9376405,465,0.345238095,0.755000526
0.03054,Under,430.9376405,420,0.345238095,20.40767725
0.03054,Over,432.4007399,465,0.234126984,0.220000015
0.03054,Over,433.6838125,430,0.123015873,8.671250716
0.03054,Over,430.9376405,475,0.345238095,0.190000194
0.03054,Under,433.6838125,410,0.123015873,26.00125386
0.03054,Over,430.9376405,445,0.345238095,5.380000002
0.03054,Over,432.4007399,435,0.234126984,7.755000002
0.03054,Over,432.4007399,475,0.234126984,0.125000105
0.03054,Over,433.6838125,450,0.123015873,0.565000068
